Source,Target,Time
1208264726926499840,1131886517855694849,2020-01-27 19:29:33
1190761750410539009,1215646679518666752,2020-01-27 19:29:33
1190761750410539009,1191346517925388290,2020-01-27 19:29:33
1190761750410539009,1191718057514803200,2020-01-27 19:29:33
1190761750410539009,274935134,2020-01-27 19:29:33
1190761750410539009,3030158859,2020-01-27 19:29:33
125874095,2830438435,2020-01-27 19:29:33
1162958843980242944,2908641410,2020-01-27 19:29:33
1162958843980242944,1166029313801687040,2020-01-27 19:29:33
1162958843980242944,1075832140271513601,2020-01-27 19:29:33
1162958843980242944,982453577456193536,2020-01-27 19:29:33
1162958843980242944,895048261240860676,2020-01-27 19:29:33
1170467197153681408,43035019,2020-01-27 19:29:33
760091061809283072,1042336175321739264,2020-01-27 19:29:33
707713927271022592,4019779475,2020-01-27 19:29:33
1143664111785562115,50669520,2020-01-27 19:29:33
38419828,2723021660,2020-01-27 19:29:33
4710003312,1120889556536938498,2020-01-27 19:29:33
925196458915237888,1141401835556786182,2020-01-27 19:29:33
2875878780,2192849483,2020-01-27 19:29:33
2875878780,949361,2020-01-27 19:29:33
2875878780,1179876412091703296,2020-01-27 19:29:33
2875878780,74456866,2020-01-27 19:29:33
4918171872,279816983,2020-01-27 19:29:34
2321753419,813286,2020-01-27 19:29:34
724074711215382528,792542366,2020-01-27 19:29:34
2521148746,1615844143,2020-01-27 19:29:34
1159636133598437377,1132939116058951680,2020-01-27 19:29:34
1159636133598437377,833360463463190528,2020-01-27 19:29:34
172818348,3065927091,2020-01-27 19:29:34
2557934846,165591750,2020-01-27 19:29:34
901656617070014464,745705135284727808,2020-01-27 19:29:34
764261361044037632,764261361044037632,2020-01-27 19:29:34
764261361044037632,1069653265703411712,2020-01-27 19:29:34
764261361044037632,822215679726100480,2020-01-27 19:29:34
1071528396633583616,41068931,2020-01-27 19:29:34
1047108650286948352,1185882100475424768,2020-01-27 19:29:34
1100530902860525574,1948138093,2020-01-27 19:29:34
1340733235,1069394310284500992,2020-01-27 19:29:34
1122199627581874179,935428644,2020-01-27 19:29:34
63486827,4850959921,2020-01-27 19:29:34
1137733938972168193,1327865311,2020-01-27 19:29:34
1172891178292994048,1187879136095805440,2020-01-27 19:29:34
1133117563,74321550,2020-01-27 19:29:34
216464191,425792634,2020-01-27 19:29:34
1179734409186070529,230708609,2020-01-27 19:29:34
1169755173704671234,1128714628543012865,2020-01-27 19:29:34
1169755173704671234,1169755173704671234,2020-01-27 19:29:34
1169755173704671234,1143181120495915008,2020-01-27 19:29:34
1169755173704671234,1057738289715838976,2020-01-27 19:29:34
1169755173704671234,205885522,2020-01-27 19:29:34
1169755173704671234,1134226992910491649,2020-01-27 19:29:34
1169755173704671234,3250487105,2020-01-27 19:29:34
1169755173704671234,1073927370535526402,2020-01-27 19:29:34
1169755173704671234,1199340766973190145,2020-01-27 19:29:34
2763745062,963480595,2020-01-27 19:29:34
1112681651983785985,813286,2020-01-27 19:29:34
1146784217315123200,1062827107548569600,2020-01-27 19:29:34
1146784217315123200,380784634,2020-01-27 19:29:34
1201442046872915968,1175225724447277056,2020-01-27 19:29:34
468358394,168681817,2020-01-27 19:29:34
1198205528566108162,1198205528566108162,2020-01-27 19:29:34
1161095841827786752,930316701631049729,2020-01-27 19:29:34
1050394238020714496,100563332,2020-01-27 19:29:34
459164473,1141401835556786182,2020-01-27 19:29:34
1204845869826076672,1103868269482500096,2020-01-27 19:29:34
1204845869826076672,851330647045963776,2020-01-27 19:29:34
92215261,46116615,2020-01-27 19:29:34
92215261,335141638,2020-01-27 19:29:34
92215261,1409798257,2020-01-27 19:29:34
1306040605,751741684271214592,2020-01-27 19:29:34
111099368,3262936934,2020-01-27 19:29:34
761117734910369796,952467079071846400,2020-01-27 19:29:34
1095175633032933376,73353129,2020-01-27 19:29:34
4665494357,157140968,2020-01-27 19:29:34
1069324021299388416,1055419911172997121,2020-01-27 19:29:34
27601528,3137800364,2020-01-27 19:29:34
1214648567987654656,1146593006344163328,2020-01-27 19:29:34
3400783660,1103424121986265093,2020-01-27 19:29:34
3400783660,4260587052,2020-01-27 19:29:34
3400783660,18194079,2020-01-27 19:29:34
1146192267797041152,17919972,2020-01-27 19:29:35
1146192267797041152,17525171,2020-01-27 19:29:35
1146192267797041152,14776983,2020-01-27 19:29:35
1146192267797041152,16945341,2020-01-27 19:29:35
1146192267797041152,976604963743842304,2020-01-27 19:29:35
904882950,1181291180761452545,2020-01-27 19:29:35
1205119374945923073,922703722085412864,2020-01-27 19:29:34
148588876,1291985708,2020-01-27 19:29:35
116882784,957951081941741569,2020-01-27 19:29:35
920672021414948864,337857412,2020-01-27 19:29:35
1085194996834131968,738690122720284672,2020-01-27 19:29:35
1085194996834131968,1192832553981370368,2020-01-27 19:29:35
629016191,502348995,2020-01-27 19:29:35
249890706,392035968,2020-01-27 19:29:35
82538176,3278503568,2020-01-27 19:29:35
266550001,134206307,2020-01-27 19:29:35
732610474672422914,878204370403250176,2020-01-27 19:29:35
885673345840103425,969942276318416897,2020-01-27 19:29:35
888132294359298048,19321357,2020-01-27 19:29:35
934150290437222400,1105808214308864001,2020-01-27 19:29:35
883660231074488320,1145972324849442816,2020-01-27 19:29:35
956444766,80602426,2020-01-27 19:29:35
1045822020619952128,1066144115761369088,2020-01-27 19:29:35
961835590621716480,22601929,2020-01-27 19:29:35
840642514214346752,408091290,2020-01-27 19:29:35
1169803499976253440,249185680,2020-01-27 19:29:35
1190360290581286917,1122520801658511360,2020-01-27 19:29:35
877202019043295233,1021963080182325248,2020-01-27 19:29:35
917143413409148930,923440840055300098,2020-01-27 19:29:35
917143413409148930,851330647045963776,2020-01-27 19:29:35
950285100796776449,744260935527735296,2020-01-27 19:29:35
950285100796776449,335141638,2020-01-27 19:29:35
397213133,1204020916214280192,2020-01-27 19:29:35
1071746053270093825,974594196,2020-01-27 19:29:35
1071746053270093825,1191812690517381123,2020-01-27 19:29:35
392821740,1058171257391341568,2020-01-27 19:29:35
2815657062,905322879105077249,2020-01-27 19:29:35
2796274141,4354454295,2020-01-27 19:29:35
2796274141,793983041626578944,2020-01-27 19:29:35
911108196378460160,2880312324,2020-01-27 19:29:35
1025748566,813286,2020-01-27 19:29:35
4249168514,1213874306515554306,2020-01-27 19:29:35
563135566,563135566,2020-01-27 19:29:36
1157400530890743809,57441414,2020-01-27 19:29:36
77499776,569013708,2020-01-27 19:29:36
1098641267200802816,39909568,2020-01-27 19:29:36
1211215355340713984,1061987042811248641,2020-01-27 19:29:36
917092644593029122,4299171557,2020-01-27 19:29:36
917092644593029122,2809636292,2020-01-27 19:29:36
917092644593029122,897943352326340608,2020-01-27 19:29:36
167462025,2323971608,2020-01-27 19:29:36
701162425807147008,561684253,2020-01-27 19:29:36
1163970039927562240,66694770,2020-01-27 19:29:36
194427250,815667453736943616,2020-01-27 19:29:36
194427250,381677670,2020-01-27 19:29:36
974993292143353858,865899946373001216,2020-01-27 19:29:36
74632651,517095475,2020-01-27 19:29:36
1033482427815972864,3079927208,2020-01-27 19:29:36
1149465816020193280,25976676,2020-01-27 19:29:36
953109085184028676,329108263,2020-01-27 19:29:36
1041808687071997952,324703658,2020-01-27 19:29:36
1041808687071997952,712927794,2020-01-27 19:29:36
2371114098,966368365504815104,2020-01-27 19:29:36
3113974421,247851217,2020-01-27 19:29:36
768081570880028674,43035019,2020-01-27 19:29:36
706586030493798400,745705135284727808,2020-01-27 19:29:36
706146238585020416,1132939116058951680,2020-01-27 19:29:36
706146238585020416,833360463463190528,2020-01-27 19:29:36
121941490,41068931,2020-01-27 19:29:36
2743167224,1190702259660681216,2020-01-27 19:29:36
2558079759,2734953286,2020-01-27 19:29:36
1057051556602773505,739784130,2020-01-27 19:29:36
1057051556602773505,14055301,2020-01-27 19:29:36
1144654207385034756,1203898617280565248,2020-01-27 19:29:36
381126181,46116615,2020-01-27 19:29:36
381126181,335141638,2020-01-27 19:29:36
381126181,1409798257,2020-01-27 19:29:36
3097328276,134482989,2020-01-27 19:29:36
1107825584,3322469433,2020-01-27 19:29:36
1464739992,1069292689479340032,2020-01-27 19:29:36
36205135,3022889996,2020-01-27 19:29:36
36205135,73834352,2020-01-27 19:29:36
1075197357380251648,39364684,2020-01-27 19:29:36
857019003826348032,952966209237958656,2020-01-27 19:29:37
1155235183945277441,804619526474059776,2020-01-27 19:29:37
1218056525425467394,943742425775841280,2020-01-27 19:29:37
2440337094,1141401835556786182,2020-01-27 19:29:37
1097596685990199298,1073315975037140992,2020-01-27 19:29:37
541844633,729446016597041153,2020-01-27 19:29:37
1210862093089423360,714454754399617025,2020-01-27 19:29:37
1210862093089423360,1150392901001592832,2020-01-27 19:29:37
1210862093089423360,1396961022,2020-01-27 19:29:37
1210862093089423360,115622213,2020-01-27 19:29:37
1210862093089423360,155561448,2020-01-27 19:29:37
1210862093089423360,1191793791797084160,2020-01-27 19:29:37
69799188,43035019,2020-01-27 19:29:37
2381173146,2179080913,2020-01-27 19:29:37
1093668456300449793,2722487402,2020-01-27 19:29:37
379109862,17507250,2020-01-27 19:29:37
991341055718117377,719888864089927680,2020-01-27 19:29:37
991341055718117377,1679402233,2020-01-27 19:29:37
2915038585,272985460,2020-01-27 19:29:37
1000768165377437697,73463687,2020-01-27 19:29:37
1218985472875122688,1221591585571385345,2020-01-27 19:29:37
1218985472875122688,18238260,2020-01-27 19:29:37
1218985472875122688,1396961022,2020-01-27 19:29:37
1218985472875122688,2866943848,2020-01-27 19:29:37
1218985472875122688,132385468,2020-01-27 19:29:37
743070158126764032,1197616486006710275,2020-01-27 19:29:37
1221513715381493761,1208454438706393090,2020-01-27 19:29:37
1221513715381493761,18238260,2020-01-27 19:29:37
195821888,279383412,2020-01-27 19:29:37
1190970660,897490595337441282,2020-01-27 19:29:37
1190970660,499496913,2020-01-27 19:29:37
334364722,17461978,2020-01-27 19:29:37
334364722,1059194370,2020-01-27 19:29:37
2494014047,22601929,2020-01-27 19:29:37
855875822,919376348,2020-01-27 19:29:37
948795391,3022889996,2020-01-27 19:29:37
948795391,73834352,2020-01-27 19:29:37
3318834102,323436444,2020-01-27 19:29:37
4664920238,744260935527735296,2020-01-27 19:29:37
4664920238,335141638,2020-01-27 19:29:37
1106009622765359106,1080654860020785152,2020-01-27 19:29:37
1106009622765359106,335141638,2020-01-27 19:29:37
1040877312487481344,256970651,2020-01-27 19:29:37
825276022023192576,767231092378202112,2020-01-27 19:29:37
3241351312,829854493764354048,2020-01-27 19:29:37
273112499,1307486371,2020-01-27 19:29:37
1181709647956209665,1191028746444140550,2020-01-27 19:29:37
2738259119,2256860591,2020-01-27 19:29:37
1699003362,414334713,2020-01-27 19:29:37
1699003362,381048540,2020-01-27 19:29:37
1047253662970470400,1006517422885670912,2020-01-27 19:29:37
1047253662970470400,10228272,2020-01-27 19:29:37
1043364702682791936,745705135284727808,2020-01-27 19:29:38
2990329087,952253899527790593,2020-01-27 19:29:38
917346386474967041,1204285574816788480,2020-01-27 19:29:38
917346386474967041,1178639450122772480,2020-01-27 19:29:38
758926836185255936,813286,2020-01-27 19:29:38
1030236232809414656,62372576,2020-01-27 19:29:38
1200102691575173120,600313200,2020-01-27 19:29:38
891907282673467392,706339548150640640,2020-01-27 19:29:38
891907282673467392,851330647045963776,2020-01-27 19:29:38
891907282673467392,1178639450122772480,2020-01-27 19:29:38
891907282673467392,3185763390,2020-01-27 19:29:38
1069961363072659458,3300427195,2020-01-27 19:29:38
1150702172914499584,3030158859,2020-01-27 19:29:38
864327255752810496,35586563,2020-01-27 19:29:38
3315522234,1690451820,2020-01-27 19:29:38
1078963855257145349,4374672521,2020-01-27 19:29:38
1078963855257145349,46116615,2020-01-27 19:29:38
1078963855257145349,335141638,2020-01-27 19:29:38
1078963855257145349,1409798257,2020-01-27 19:29:38
1213443206311923712,1218958059713679361,2020-01-27 19:29:38
505512239,881137770022014976,2020-01-27 19:29:38
2567831053,1005410620219351040,2020-01-27 19:29:38
1221877062413246469,1189985312723865601,2020-01-27 19:29:38
1221877062413246469,1190083681777573888,2020-01-27 19:29:38
983129622,892805414361985025,2020-01-27 19:29:38
4852761285,2257348232,2020-01-27 19:29:38
823586927181893632,1209703339342139392,2020-01-27 19:29:38
823586927181893632,4631909668,2020-01-27 19:29:38
823586927181893632,1207003183593279488,2020-01-27 19:29:38
833311885743255552,824322536204865537,2020-01-27 19:29:38
833311885743255552,25073877,2020-01-27 19:29:38
799448185,20918593,2020-01-27 19:29:38
341318929,34868950,2020-01-27 19:29:38
1198319465571635200,18238260,2020-01-27 19:29:38
1198319465571635200,1178639450122772480,2020-01-27 19:29:38
1195956001079353344,1135585629247606784,2020-01-27 19:29:38
1155819899421429762,879055325260910592,2020-01-27 19:29:38
1201442046872915968,4888981402,2020-01-27 19:29:38
367079261,1155205777046609920,2020-01-27 19:29:38
367079261,2735985057,2020-01-27 19:29:38
367079261,492125645,2020-01-27 19:29:38
1147136523990646784,902890240997806080,2020-01-27 19:29:38
1147136523990646784,3030158859,2020-01-27 19:29:38
1196320719820378112,1218288886423674883,2020-01-27 19:29:38
31350277,1291985708,2020-01-27 19:29:38
1213413337406427137,1185882100475424768,2020-01-27 19:29:38
1180965929552764928,813286,2020-01-27 19:29:38
1214255618908815360,2997472802,2020-01-27 19:29:38
2886939685,1141401835556786182,2020-01-27 19:29:38
384937002,18065236,2020-01-27 19:29:38
970735664,2536026825,2020-01-27 19:29:38
1323093661,18238260,2020-01-27 19:29:38
1323093661,1178639450122772480,2020-01-27 19:29:38
4106425384,1070484114241921027,2020-01-27 19:29:38
799353889447440385,819602381654687744,2020-01-27 19:29:38
1207122955370516480,1183069697085865985,2020-01-27 19:29:38
1207122955370516480,18238260,2020-01-27 19:29:38
1207122955370516480,1178639450122772480,2020-01-27 19:29:38
1207122955370516480,4802175765,2020-01-27 19:29:38
1207122955370516480,2866943848,2020-01-27 19:29:38
1207122955370516480,1184094179627941888,2020-01-27 19:29:38
1207122955370516480,132385468,2020-01-27 19:29:38
1069279819131641856,935742315389444096,2020-01-27 19:29:38
3278161453,1080654860020785152,2020-01-27 19:29:38
3278161453,335141638,2020-01-27 19:29:38
417517354,4227288628,2020-01-27 19:29:38
769471109217521664,2850521753,2020-01-27 19:29:38
1221431179347419137,1179666898574827520,2020-01-27 19:29:38
2303300526,53349365,2020-01-27 19:29:38
881574682968768512,824322536204865537,2020-01-27 19:29:39
881574682968768512,25073877,2020-01-27 19:29:39
708753570,946770918,2020-01-27 19:29:39
708753570,73834352,2020-01-27 19:29:39
57450770,63335631,2020-01-27 19:29:39
1215914179087032321,772789437063368704,2020-01-27 19:29:39
1188172977226936320,1195700533262213121,2020-01-27 19:29:39
554072675,396693338,2020-01-27 19:29:39
1547814140,65537597,2020-01-27 19:29:39
1547814140,19923144,2020-01-27 19:29:39
1547814140,1059194370,2020-01-27 19:29:39
598507418,110386149,2020-01-27 19:29:39
598507418,19583545,2020-01-27 19:29:39
212060865,813286,2020-01-27 19:29:39
1091796346338562048,3262936934,2020-01-27 19:29:39
1091796346338562048,18238260,2020-01-27 19:29:39
703612504228761601,894711028927184896,2020-01-27 19:29:39
958770169148575746,285948789,2020-01-27 19:29:39
1207380808689995776,803428753271504896,2020-01-27 19:29:39
1171827551263760385,709971426,2020-01-27 19:29:39
731045370285948929,327698189,2020-01-27 19:29:39
800767895705776130,3004231,2020-01-27 19:29:39
1197951376279556096,1202518496598343681,2020-01-27 19:29:39
924026042884526080,295965072,2020-01-27 19:29:39
239542740,1059194370,2020-01-27 19:29:39
4819130836,466422829,2020-01-27 19:29:39
751886131,1291985708,2020-01-27 19:29:39
1097676204314951680,1196813258235113473,2020-01-27 19:29:39
1014920406615064576,38952468,2020-01-27 19:29:39
1176254169621114880,319769408,2020-01-27 19:29:39
398521222,16592672,2020-01-27 19:29:39
2971858882,887188557428817921,2020-01-27 19:29:39
1213357287537967106,767231092378202112,2020-01-27 19:29:39
1058910497456771072,59268488,2020-01-27 19:29:39
1077712235160657920,3004231,2020-01-27 19:29:39
1642073250,2534730907,2020-01-27 19:29:39
380746809,825840504562606080,2020-01-27 19:29:39
380746809,1059194370,2020-01-27 19:29:39
53232740,1184253339464273921,2020-01-27 19:29:39
114105948,17461978,2020-01-27 19:29:39
114105948,1059194370,2020-01-27 19:29:39
3076488333,760898483243126784,2020-01-27 19:29:39
461157926,2568778573,2020-01-27 19:29:39
55354176,1210236424454316032,2020-01-27 19:29:39
743260992705036288,3022889996,2020-01-27 19:29:39
743260992705036288,73834352,2020-01-27 19:29:39
1054560859031257088,1189785021827223557,2020-01-27 19:29:39
377070608,169686021,2020-01-27 19:29:39
932499619,119504238,2020-01-27 19:29:39
155148033,2914442873,2020-01-27 19:29:39
391662764,1036349552331124737,2020-01-27 19:29:40
391662764,46116615,2020-01-27 19:29:40
391662764,335141638,2020-01-27 19:29:40
391662764,1409798257,2020-01-27 19:29:40
2976440693,1181652032299638784,2020-01-27 19:29:40
770672963070812160,3259092271,2020-01-27 19:29:40
100625857,16827644,2020-01-27 19:29:40
2251464901,4856176836,2020-01-27 19:29:40
2371332271,15605430,2020-01-27 19:29:40
4825928478,18238260,2020-01-27 19:29:40
4825928478,2866943848,2020-01-27 19:29:40
4825928478,132385468,2020-01-27 19:29:40
2438514072,777712560074321920,2020-01-27 19:29:40
356590542,2432875392,2020-01-27 19:29:40
890445847405580288,1214539973183062019,2020-01-27 19:29:40
1205361599197990914,65537597,2020-01-27 19:29:40
1205361599197990914,19923144,2020-01-27 19:29:40
1205361599197990914,1059194370,2020-01-27 19:29:40
828117763315138561,3004231,2020-01-27 19:29:40
916223932038041601,2510452681,2020-01-27 19:29:40
1213475154153504770,923691677600157696,2020-01-27 19:29:40
167462025,2323971608,2020-01-27 19:29:40
175401989,1201458097295740928,2020-01-27 19:29:40
1202743438434652160,767231092378202112,2020-01-27 19:29:40
93222488,705538253445832704,2020-01-27 19:29:40
61867065,1155759796634570752,2020-01-27 19:29:40
2669284879,473681594,2020-01-27 19:29:40
2669284879,851330647045963776,2020-01-27 19:29:40
1192262378382954496,3004231,2020-01-27 19:29:40
3485983633,3197063113,2020-01-27 19:29:40
1220704179880169472,790677546379730944,2020-01-27 19:29:40
